fid,DPA_PARROQ,DPA_DESPAR,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,DPA_ANIO,altitud_mean,altitud_min,altitud_max,pendiente_mean,distancia_parroquias_rios_distance,prec_mean
1,"100650",URCUQUÍ,"1006",SAN MIGUEL DE URCUQUÍ,"10",IMBABURA,"2026",2527.45981922591,794,4501,89.9884703376612,10093483.9533499,83.9248142594459
2,"030350",CAÑAR,"0303",CAÑAR,"03",CAÑAR,"2026",2619.9607033629,69,4497,89.9188200260342,9748839.00894463,85.6382016511603
3,"130650",JIPIJAPA,"1306",JIPIJAPA,"13",MANABÍ,"2026",380.236853696191,0,868,89.9042313264835,9856435.84784473,66.564945818773
4,"190850",PALANDA,"1908",PALANDA,"19",ZAMORA CHINCHIPE,"2026",2226.31672874142,767,3758,89.9972732477794,9520760.99826608,93.1686518200919
5,"070650",EL GUABO,"0706",EL GUABO,"07",EL ORO,"2026",329.187671022391,-17,3214,84.2967239134899,9670758.14962174,80.7409141394121
6,"131750",PEDERNALES,"1317",PEDERNALES,"13",MANABÍ,"2026",216.299781200606,-29,894,86.6267978182538,10030673.3218636,110.573130650981
7,"030150",AZOGUES,"0301",AZOGUES,"03",CAÑAR,"2026",3069.65845704493,1969,4109,89.9767570404262,9738420.62121122,90.7470439250653
8,"220250",NUEVO ROCAFUERTE,"2202",AGUARICO,"22",ORELLANA,"2026",231.598759456729,151,394,88.91895052019,9952650.70117481,135.906712582287
9,"040350",EL ÁNGEL,"0403",ESPEJO,"04",CARCHI,"2026",2918.44650392383,1013,4208,89.9793710419118,10113003.1368395,81.0284368394507
10,"091850",SANTA LUCÍA,"0918",SANTA LUCÍA,"09",GUAYAS,"2026",20.20714634882,-17,163,89.0063931408224,9829355.45036296,84.8775053984367
11,"092550",NARCISA DE JESÚS,"0925",NOBOL,"09",GUAYAS,"2026",38.6662580231518,-17,325,89.1450253433464,9801641.78655671,74.8615299889801
12,"170950",PUERTO QUITO,"1709",PUERTO QUITO,"17",PICHINCHA,"2026",243.484599494,83,544,89.7973210530501,10041406.6371703,163.26053785476
13,"210150",NUEVA LOJA,"2101",LAGO AGRIO,"21",SUCUMBÍOS,"2026",307.762927438712,225,640,89.662739464002,10059087.5128646,138.615764560984
14,"130550",FLAVIO ALFARO,"1305",FLAVIO ALFARO,"13",MANABÍ,"2026",256.969442058996,86,1013,89.9817234243667,9984158.02118547,119.342023397014
15,"092750",GENERAL ANTONIO ELIZALDE,"0927",GENERAL  ANTONIO ELIZALDE,"09",GUAYAS,"2026",283.279866870655,86,1694,89.4290964280836,9786213.06411229,128.306632009046
16,"150350",ARCHIDONA,"1503",ARCHIDONA,"15",NAPO,"2026",2346.63314339079,437,5699,89.8769474464362,9955893.75932479,161.850904752319
17,"150450",EL CHACO,"1504",EL CHACO,"15",NAPO,"2026",2039.03079899971,118,4661,89.980124181317,10010111.4458129,144.949349828513
18,"240350",SALINAS,"2403",SALINAS,"24",SANTA ELENA,"2026",14.5811081115105,-41,97,81.0355228764984,9763386.58413452,31.1695509127208
19,"140450",PALORA,"1404",PALORA,"14",MORONA SANTIAGO,"2026",1503.42024320739,663,4198,89.9083191890374,9849258.21278946,166.216863379071
20,"190550",YANTZAZA,"1905",YANTZAZA,"19",ZAMORA CHINCHIPE,"2026",1403.38043868876,752,3044,89.9672241594925,9615429.89280192,114.806593113832
21,"092850",ISIDRO AYORA,"0928",ISIDRO AYORA,"09",GUAYAS,"2026",116.053980242475,0,387,89.8608646243247,9800641.23236527,77.0343853767376
22,"070850",MARCABELÍ,"0708",MARCABELÍ,"07",EL ORO,"2026",661.769761357836,327,1275,89.984177907454,9602058.1255128,87.3861171086629
23,"240250",LA LIBERTAD,"2402",LA LIBERTAD,"24",SANTA ELENA,"2026",25.6428357089272,-17,56,89.5331522679025,9765884.36709726,26.6184851646423
24,"140650",SUCÚA,"1406",SUCÚA,"14",MORONA SANTIAGO,"2026",1864.06980180089,546,4630,89.9256660921794,9759559.0029449,120.192518817815
25,"130450",EL CARMEN,"1304",EL CARMEN,"13",MANABÍ,"2026",177.009349128306,64,570,88.2906139822136,9973562.50929107,147.691476730304
26,"090250",ALFREDO BAQUERIZO MORENO (JUJÁN),"0902",ALFREDO BAQUERIZO MORENO (JUJÁN),"09",GUAYAS,"2026",10.9819580239424,-27,36,89.2043893055074,9807126.14259714,106.82000799127
27,"090750",ELOY ALFARO,"0907",DURÁN,"09",GUAYAS,"2026",3.09783803285968,-29,122,79.0395308929692,9774180.3212607,85.601946535728
28,"121050",SAN JACINTO DE BUENA FE,"1210",BUENA FE,"12",LOS RÍOS,"2026",122.707452161865,47,212,88.1810683891229,9942704.20326997,140.018582259552
29,"040450",MIRA,"0404",MIRA,"04",CARCHI,"2026",1850.57463472777,467,4019,89.9935895056704,10112477.3758628,92.0517769416173
30,"071350",ZARUMA,"0713",ZARUMA,"07",EL ORO,"2026",2084.49881413729,372,3893,89.9969580241123,9630865.22645288,92.2737147892747
31,"111150",SARAGURO,"1111",SARAGURO,"11",LOJA,"2026",2509.42546737731,780,3825,89.991834567615,9633408.36354859,74.6234750715132
32,"010950",SÍGSIG,"0109",SÍGSIG,"01",AZUAY,"2026",3000.13298959247,2291,4075,89.9909926266315,9682012.49215711,72.8981500180677
33,"210350",PUERTO EL CARMEN DE PUTUMAYO,"2103",PUTUMAYO,"21",SUCUMBÍOS,"2026",251.923584613548,184,331,88.5510364382218,10064310.9282598,128.489654718247
34,"170250",CAYAMBE,"1702",CAYAMBE,"17",PICHINCHA,"2026",3511.78702727536,2008,5785,89.9751416074352,10033660.5504611,84.6726666687699
35,"200250",PUERTO VILLAMIL,"2002",ISABELA,"20",GALÁPAGOS,"2026",307.298039276876,-15,1707,89.388882453475,9960384.95645515,
36,"030250",BIBLIÁN,"0302",BIBLIÁN,"03",CAÑAR,"2026",3295.08006232802,2531,4304,89.9869860373416,9731715.55893391,74.3053974488966
37,"040150",TULCÁN,"0401",TULCÁN,"04",CARCHI,"2026",1879.18825548003,94,4713,89.9754333293316,10133461.3667612,121.660317926912
38,"011550",CAMILO PONCE ENRÍQUEZ,"0115",CAMILO PONCE ENRÍQUEZ,"01",AZUAY,"2026",722.388327716691,9,2500,89.9561020188221,9684371.71048019,85.1246296709234
39,"090150",GUAYAQUIL,"0901",GUAYAQUIL,"09",GUAYAS,"2026",32.7584608399067,-43,468,76.6866234875016,9743194.20985886,70.8596836395934
40,"091250",NARANJITO,"0912",NARANJITO,"09",GUAYAS,"2026",48.901598676957,13,110,89.2767472254204,9785358.50884319,107.26998909527
41,"130850",MANTA,"1308",MANTA,"13",MANABÍ,"2026",169.646276743585,0,392,89.7401969765697,9900251.82083385,48.6846107853113
42,"110650",AMALUZA,"1106",ESPÍNDOLA,"11",LOJA,"2026",2225.25821000369,992,3875,89.9152882450807,9521238.15653609,91.6811401764928
43,"090650",DAULE,"0906",DAULE,"09",GUAYAS,"2026",11.2778929396591,-37,310,88.3365843514168,9808852.08248904,83.1328025490117
44,"090450",BALZAR,"0904",BALZAR,"09",GUAYAS,"2026",43.4066678663102,-20,266,89.7251891532687,9876803.10135182,103.98620080898
45,"210250",LUMBAQUÍ,"2102",GONZALO PIZARRO,"21",SUCUMBÍOS,"2026",1603.05221312181,374,3909,89.9594866104872,10047616.9731316,173.35777102483
46,"190250",ZUMBA,"1902",CHINCHIPE,"19",ZAMORA CHINCHIPE,"2026",1874.34829469358,606,3862,89.9874123784622,9489583.07049298,94.4543034571562
47,"050750",SIGCHOS,"0507",SIGCHOS,"05",COTOPAXI,"2026",2503.30062985513,655,5101,89.8196958601484,9956430.8707993,114.320100553895
48,"900651",ZONA EN ESTUDIO: JUVAL (CAÑAR-CHIMBORAZO),"9006",ZONA EN ESTUDIO: JUVAL (CAÑAR-CHIMBORAZO),"90",ZONA EN ESTUDIO: JUVAL (CAÑAR-CHIMBORAZO),"2026",3519.57910273304,1601,4629,89.9434879803859,9761764.31608627,100.799241642845
49,"080250",VALDEZ,"0802",ELOY ALFARO,"08",ESMERALDAS,"2026",447.061910991933,-51,3487,88.8142845556558,10108767.0203908,138.611516721622
50,"071150",PORTOVELO,"0711",PORTOVELO,"07",EL ORO,"2026",1696.13349897447,536,3734,89.9946729929523,9609485.76391947,110.273723200748
51,"130350",CHONE,"1303",CHONE,"13",MANABÍ,"2026",207.769184216596,-31,978,89.5789983169606,9967515.40240852,109.267221079762
52,"060450",CHAMBO,"0604",CHAMBO,"06",CHIMBORAZO,"2026",3556.39242344547,2505,4719,89.9796396103654,9836767.62348929,73.8755641605543
53,"190450",28 DE MAYO,"1904",YACUAMBI,"19",ZAMORA CHINCHIPE,"2026",2310.35008754156,863,3782,89.9905782243184,9628415.34407435,99.8978036865592
54,"092350",CORONEL MARCELINO MARIDUEÑA,"0923",CORONEL MARCELINO MARIDUEÑA,"09",GUAYAS,"2026",58.9174922791385,-24,292,89.3031834180655,9776065.18272553,121.069763036875
55,"230150",SANTO DOMINGO DE LOS COLORADOS,"2301",SANTO DOMINGO,"23",SANTO DOMINGO DE LOS TSÁCHILAS,"2026",665.643490363278,112,3033,89.9130549193208,9990872.83191004,167.939857322205
56,"011350",SEVILLA DE ORO,"0113",SEVILLA DE ORO,"01",AZUAY,"2026",2665.07415873819,766,3814,89.9758879372678,9734309.31835627,122.602492901706
57,"092450",LOMAS DE SARGENTILLO,"0924",LOMAS DE SARGENTILLO,"09",GUAYAS,"2026",17.4494536421653,-9,60,89.6661053974785,9813644.88395605,78.5964524118524
58,"110750",GONZANAMÁ,"1107",GONZANAMÁ,"11",LOJA,"2026",1749.74826180272,883,3093,89.9894326981839,9564073.32459269,85.2209214256739
59,"140950",TAISHA,"1409",TAISHA,"14",MORONA SANTIAGO,"2026",366.139852131772,192,1923,89.4902669785529,9767489.16619734,117.496501397761
60,"141150",PABLO SEXTO,"1411",PABLO SEXTO,"14",MORONA SANTIAGO,"2026",2634.14268446518,823,5277,89.8254412895633,9827267.26191338,109.031719380084
61,"180650",QUERO,"1806",QUERO,"18",TUNGURAHUA,"2026",3482.38036072369,2606,4410,89.9760712291481,9869846.0160773,68.7745035956888
62,"010750",SAN FERNANDO,"0107",SAN FERNANDO,"01",AZUAY,"2026",3105.00566562852,1567,4016,89.9894056188619,9678281.41981899,71.8876733539485
63,"120750",VENTANAS,"1207",VENTANAS,"12",LOS RÍOS,"2026",114.181233578548,-15,1148,89.6965129854576,9871676.64370657,141.711915226306
64,"070350",PACCHA,"0703",ATAHUALPA,"07",EL ORO,"2026",1414.69015368673,146,3571,89.9972208899317,9628580.85860859,103.351073087272
65,"080450",ROSA ZÁRATE,"0804",QUININDÉ,"08",ESMERALDAS,"2026",204.786160915899,-31,855,89.7042174009065,10061959.7679097,138.598478258912
