serial,nombre,nombre_en,descripcion,parent,terminal,hlevel
2,Desaparecido en medio acuático,Desaparecido en medio acuático,Desaparecido en Medio Acuático,,,
3,Desbordamiento,Desbordamiento,Desbordamiento de Rios,,,
4,Desaparecido,Desaparecido,"Persona resportada como Desaparecida, en excursion y/o medio acuatico",,,
5,Aceite en la vía,Aceite en la vía,Aceite en la vía,,,
6,Amenaza de bomba,Amenaza de bomba,Amenaza de bomba,,,
7,Lahares,Lahares,Lahares provocados por Lluvias o por actividad volcanica,,,
8,Accidente en el medio náutico,Accidente en el medio náutico,Accidente Náutico,,,
9,Aguaje,Aguaje,Aguaje,,,
10,Conmoción social,Conmoción social,Conmoción Social,,,
11,Asentamientos,Asentamientos,Asentamientos,,,
12,Ahogado,Ahogado,Ahogado,,,
13,Accidente ferroviario,Accidente ferroviario,Accidente Ferroviario,,,
14,Accidente de tránsito,Accidente de tránsito,Accidente de tránsito,,,
16,Inspección,Inspección,Inspección,,,
17,Abastecimiento de agua,Abastecimiento de agua,Abastecimiento de agua,,,
18,Accidente fluvial,Accidente fluvial,Accidente fluvial,,,
19,Accidente,ACCIDENT,"Accidentes de transporte vehicular, férreo, aéreo o naviero. Se limita a aquello",,,
21,Alud,AVALANCHE,Desprendimiento de masas de hielo y/o nieve. Palabras claves: avalancha.,,,
22,Biológico,BIOLOGICAL,"Mortandad o migración de especies biológicas. Pueden, en última instancia, estar",,,
23,Cambio línea de costa,COASTLINE,Variación de la línea costera y/o de las zonas marítimas próximas a la costa. In,,,
24,Sequía,DROUGHT,"Temporada seca, sin lluvias, o con déficit de lluvias. En general se trata de pe",,,
32,Neblina,FOG,Masas de nubes que descienden hasta o se generan desde la superficie terrestre y,,,
36,Ola de calor,HEATWAVE,"Aumento de la temperatura en una región con efectos sobre poblaciones humanas, c",,,
37,Huracán,HURRICANE,Depresión tropical que corresponde a una anomalía atmosférica violenta que gira ,,,
39,Escape,LEAK,"Derrame o fuga de sustancias tóxicas, líquidas, sólidas o gaseosas (p. ej. fuga ",,,
40,Licuación,LIQUEFACTION,Comportamiento momentáneo como un líquido de suelos granulares saturados de agua,,,
41,Otro,OTHER,Cuando el desastre no está relacionado con ninguno de los tipos de eventos anter,,,
42,Pánico,PANIC,"Pánico o histeria colectiva en eventos masivos (estadios, salas de cine, etc.) q",,,
44,Contaminación,POLLUTION,"Concentración de sustancias contaminantes en el aire, el agua o los suelos, con ",,,
45,Lluvias,RAIN,"Precipitación pluvial. Incluye lluvias puntuales, persistentes o torrenciales en",,,
46,Sedimentación,SEDIMENTATION,Depositación de material sólido producido por movimientos de masa en laderas por,,,
47,Nevada,SNOWSTORM,Caída y acumulación de nieve. Palabras claves: nieve.,,,
48,Avenida torrencial,SPATE,"Flujo violento de agua en una cuenca, a veces reportado como creciente (súbita, ",,,
49,Tempestad,STORM,"Lluvia acompañada de vientos fuertes y/o de descargas eléctricas (rayos, relámpa",,,
51,Colapso estructural,STRUCTURE,Daño o colapso de cualquier tipo de estructuras (incluidas aquellas relacionadas,,,
52,Marejada,SURGE,"Llegada de grandes olas al litoral, causados por huracanes, vendavales, tempesta",,,
53,Tornado,TORNADO,Columna de vientos fuertes en remolino en forma de embudo que llega a la tierra ,,,
55,Materiales peligrosos,Materiales peligrosos,Materiales peligrosos,,,
57,Intoxicado,Intoxicado,Intoxicado,,,
58,Accidente aéreo,Accidente aéreo,Accidente aéreo,,,
62,Desaparecido en excursión,Desaparecido en excursión,Desaparecido en Excursión,,,
63,INUNDACIÓN,FLOOD,"Anegamiento o cubrimiento con agua de un terreno donde se localizen poblaciones,",,,
64,ACCIDENTE MINERO,ACCIDENTE MINERO,ACCIDENTE MINERO,,,
65,ACTIVIDAD VOLCÁNICA,ERUPTION,"Erupción o emisión de materias solidas, liquidas o gaseosas por aberturas o grie",,,
66,ALUVIÓN,ALLUVION,Avenidas torrenciales con arrastre de grandes cantidades de material sólido (gui,,,
67,DÉFICIT HÍDRICO,Déficit hídrico,Déficit hídrico,,,
68,DESLIZAMIENTO,LANDSLIDE,"Movimiento de masa en la superficie terrestre. Palabras claves: derrumbe, asenta",,,
69,EPIDEMIA,EPIDEMIC,"Enfermedad que ataca en una misma zona a uno o mas individuos (días, semanas, me",,,
70,EXPLOSIÓN,EXPLOSION,"Liberación brusca de una gran cantidad de energía (térmica, química o nuclear), ",,,
71,GRANIZADA,HAILSTORM,Agua congelada que desciende con violencia de las nubes en granos más o menos du,,,
72,HELADA,FROST,"Disminución de la temperatura con efectos nocivos en la población, cultivos, bie",,,
73,HUNDIMIENTO,Hundimiento,Hundimiento,,,
74,INCENDIO ESTRUCTURAL,FIRE,"Incendios urbanos, industriales o rurales, diferentes a incendios forestales.",,,
75,INCENDIO FORESTAL,FORESTFIRE,"Incluye todos los incendios en campo abierto en áreas rurales, sobre bosques nat",,,
76,OLEAJE,Oleaje,Oleajes,,,
77,PLAGA,PLAGUE,"Proliferación de organismos que afectan a comunidades, a la agricultura, a la ga",,,
78,SISMO,EARTHQUAKE,Se denomina sismo o terremoto a las sacudidas bruscas del terreno causadas por e,,,
79,SOCAVAMIENTO,Socavamiento,Socavamiento,,,
80,TORMENTA ELÉCTRICA,ELECTRICSTORM,"Concentración de descargas estáticas atmosféricas (rayos), con efectos sobre hum",,,
81,TSUNAMI,TSUNAMI,"Aplicado a olas generadas por movimiento en el fondo del mar, generado por sismo",,,
82,VENDAVAL,STRONGWIND,"Perturbación atmosférica que genera vientos fuertes y destructivos, generalmente",,,
