DPA_PARROQ,Densidad Poblacional
010150,5.044
010151,87.0
010152,86.0
010153,5.0
010154,29.0
010155,61.0
010156,468.0
010157,7.0
010158,248.0
010159,120.0
010160,336.0
010161,63.0
010162,1.932
010163,53.0
010164,156.0
010165,37.0
010166,312.0
010167,573.0
010168,94.0
010169,537.0
010170,784.0
010171,34.0
010250,35.0
010251,50.0
010252,21.0
010350,531.0
010352,77.0
010353,87.0
010354,66.0
010356,45.0
010357,131.0
010358,73.0
010359,36.0
010360,61.0
010450,37.0
010451,27.0
010452,9.0
010453,11.0
010550,217.0
010552,49.0
010553,138.0
010554,148.0
010556,19.0
010559,166.0
010561,34.0
010562,48.0
010650,14.0
010652,25.0
010750,25.0
010751,33.0
010850,56.0
010851,68.0
010852,13.0
010853,7.0
010854,16.0
010950,74.0
010951,13.0
010952,12.0
010953,64.0
010954,43.0
010955,94.0
010956,48.0
011050,11.0
011051,13.0
011150,423.0
011151,38.0
011152,137.0
011153,42.0
011154,73.0
011250,61.0
011253,14.0
011350,31.0
011351,5.0
011352,24.0
011450,89.0
011550,107.0
020150,123.0
020151,16.0
020153,30.0
020155,13.0
020156,19.0
020157,52.0
020158,73.0
020159,32.0
020160,42.0
020250,33.0
020251,24.0
020350,410.0
020351,79.0
020353,59.0
020354,111.0
020355,18.0
020450,60.0
020550,150.0
020551,22.0
020552,21.0
020553,12.0
020554,68.0
020555,33.0
020556,37.0
020650,89.0
020750,47.0
030150,730.0
030151,190.0
030153,115.0
030154,280.0
030155,162.0
030156,16.0
030157,3.0
030158,135.0
030160,20.0
030250,206.0
030251,44.0
030252,392.0
030253,165.0
030254,28.0
030350,227.0
030351,15.0
030352,80.0
030353,20.0
030354,11.0
030355,77.0
030356,17.0
030357,26.0
030358,5.0
030361,20.0
030362,20.0
030363,37.0
030450,297.0
030451,78.0
030452,72.0
030550,147.0
030650,75.0
030651,105.0
030750,87.0
040150,473.0
040151,33.0
040153,114.0
040154,10.0
040155,38.0
040156,2.0
040157,15.0
040158,44.0
040159,10.0
040161,145.0
040250,59.0
040251,23.0
040252,43.0
040253,24.0
040254,53.0
040255,63.0
040350,62.0
040351,3.0
040352,25.0
040353,64.0
040450,67.0
040451,18.0
040452,7.0
040453,26.0
040550,141.0
040551,89.0
040552,16.0
040553,36.0
040554,30.0
040555,50.0
040650,149.0
040651,45.0
050150,472.0
050151,55.0
050152,192.0
050153,569.0
050154,134.0
050156,18.0
050157,311.0
050158,65.0
050159,107.0
050161,291.0
050162,52.0
050250,208.0
050251,16.0
050252,11.0
050350,34.0
050351,34.0
050352,21.0
050353,15.0
050450,144.0
050451,13.0
050453,33.0
050455,191.0
050456,9.0
050457,21.0
050458,33.0
050550,202.0
050551,472.0
050552,37.0
050553,176.0
050554,159.0
050555,251.0
050650,391.0
050651,138.0
050652,452.0
050653,30.0
050750,10.0
050751,24.0
050752,23.0
050753,14.0
050754,9.0
060150,3.049
060151,83.0
060152,120.0
060153,252.0
060154,61.0
060155,558.0
060156,113.0
060157,14.0
060158,91.0
060159,33.0
060160,29.0
060161,653.0
060250,194.0
060251,14.0
060253,39.0
060254,13.0
060255,18.0
060256,23.0
060257,28.0
060258,30.0
060259,24.0
060260,47.0
060350,65.0
060351,6.0
060352,55.0
060353,11.0
060354,57.0
060450,81.0
060550,54.0
060551,27.0
060552,25.0
060553,43.0
060554,20.0
060650,50.0
060651,11.0
060652,41.0
060750,243.0
060751,15.0
060752,35.0
060753,65.0
060754,80.0
060755,461.0
060756,58.0
060757,60.0
060758,50.0
060759,13.0
060850,31.0
060950,76.0
060951,17.0
060952,11.0
060953,7.0
060954,283.0
060955,4.0
060956,10.0
061050,104.0
070150,1.228
070152,36.0
070250,92.0
070251,20.0
070254,16.0
070255,11.0
070256,16.0
070350,51.0
070351,14.0
070352,32.0
070353,154.0
070354,192.0
070355,3.0
070450,112.0
070451,124.0
070550,7.0
070650,150.0
070651,107.0
070652,320.0
070653,51.0
070654,44.0
070750,571.0
070850,51.0
070851,14.0
070950,465.0
070951,188.0
070952,47.0
070953,248.0
070954,33.0
070955,30.0
070956,80.0
071050,171.0
071051,13.0
071052,22.0
071053,15.0
071054,13.0
071055,25.0
071056,24.0
071150,312.0
071151,31.0
071152,9.0
071153,6.0
071250,434.0
071251,97.0
071252,4.0
071253,37.0
071254,64.0
071255,33.0
071256,33.0
071257,25.0
071350,678.0
071351,18.0
071352,68.0
071353,12.0
071354,12.0
071355,49.0
071356,94.0
071357,111.0
071358,35.0
071359,8.0
071450,30.0
071451,10.0
071452,11.0
071453,24.0
080150,2.422
080152,24.0
080153,10.0
080154,23.0
080159,27.0
080163,44.0
080165,20.0
080166,88.0
080168,115.0
