;Provincia;Cantón;Parroquia;Densidad Poblacional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;CUENCA;CUENCA;5.044;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;CUENCA;BAÑOS;87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;CUENCA;CUMBE;86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;CUENCA;CHAUCHA;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;CUENCA;CHECA;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;CUENCA;CHIQUINTAD;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;CUENCA;LLACAO;468;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;CUENCA;MOLLETURO;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;CUENCA;NULTI;248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;CUENCA;OCTAVIO CORDERO PALACIOS;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;CUENCA;PACCHA;336;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;CUENCA;QUINGEO;63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;CUENCA;RICAURTE;1.932;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;CUENCA;SAN JOAQUÍN;53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;CUENCA;SANTA ANA;156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;CUENCA;SAYAUSÍ;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;CUENCA;SIDCAY;312;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;CUENCA;SININCAY;573;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AZUAY;CUENCA;TARQUI;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
