,Provincia,Cantón,Parroquia,Densidad Poblacional
0,AZUAY,CUENCA,CUENCA,5.044
1,AZUAY,CUENCA,BAÑOS,87.0
2,AZUAY,CUENCA,CUMBE,86.0
3,AZUAY,CUENCA,CHAUCHA,5.0
4,AZUAY,CUENCA,CHECA,29.0
5,AZUAY,CUENCA,CHIQUINTAD,61.0
6,AZUAY,CUENCA,LLACAO,468.0
7,AZUAY,CUENCA,MOLLETURO,7.0
8,AZUAY,CUENCA,NULTI,248.0
9,AZUAY,CUENCA,OCTAVIO CORDERO PALACIOS,120.0
10,AZUAY,CUENCA,PACCHA,336.0
11,AZUAY,CUENCA,QUINGEO,63.0
12,AZUAY,CUENCA,RICAURTE,1.932
13,AZUAY,CUENCA,SAN JOAQUÍN,53.0
14,AZUAY,CUENCA,SANTA ANA,156.0
15,AZUAY,CUENCA,SAYAUSÍ,37.0
16,AZUAY,CUENCA,SIDCAY,312.0
17,AZUAY,CUENCA,SININCAY,573.0
18,AZUAY,CUENCA,TARQUI,94.0
19,AZUAY,CUENCA,TURI,537.0
20,AZUAY,CUENCA,VALLE,784.0
21,AZUAY,CUENCA,VICTORIA DEL PORTETE,34.0
22,AZUAY,GIRÓN,GIRÓN,35.0
23,AZUAY,GIRÓN,LA ASUNCIÓN,50.0
24,AZUAY,GIRÓN,SAN GERARDO,21.0
25,AZUAY,GUALACEO,GUALACEO,531.0
26,AZUAY,GUALACEO,DANIEL CÓRDOVA TORAL,77.0
27,AZUAY,GUALACEO,JADÁN,87.0
28,AZUAY,GUALACEO,MARIANO MORENO,66.0
29,AZUAY,GUALACEO,REMIGIO CRESPO TORAL,45.0
30,AZUAY,GUALACEO,SAN JUAN,131.0
31,AZUAY,GUALACEO,ZHIDMAD,73.0
32,AZUAY,GUALACEO,LUIS CORDERO VEGA,36.0
33,AZUAY,GUALACEO,SIMÓN BOLÍVAR,61.0
34,AZUAY,NABÓN,NABÓN,37.0
35,AZUAY,NABÓN,COCHAPATA,27.0
36,AZUAY,NABÓN,EL PROGRESO,9.0
37,AZUAY,NABÓN,LAS NIEVES,11.0
38,AZUAY,PAUTE,PAUTE,217.0
39,AZUAY,PAUTE,BULÁN,49.0
40,AZUAY,PAUTE,CHICÁN,138.0
41,AZUAY,PAUTE,EL CABO,148.0
42,AZUAY,PAUTE,GUARAINAG,19.0
43,AZUAY,PAUTE,SAN CRISTÓBAL,166.0
44,AZUAY,PAUTE,TOMEBAMBA,34.0
45,AZUAY,PAUTE,DUG DUG,48.0
46,AZUAY,PUCARÁ,PUCARÁ,14.0
47,AZUAY,PUCARÁ,SAN RAFAEL DE SHARUG,25.0
48,AZUAY,SAN FERNANDO,SAN FERNANDO,25.0
49,AZUAY,SAN FERNANDO,CHUMBLÍN,33.0
50,AZUAY,SANTA ISABEL,SANTA ISABEL,56.0
51,AZUAY,SANTA ISABEL,ABDÓN CALDERÓN,68.0
52,AZUAY,SANTA ISABEL,EL CARMEN DE PIJILÍ,13.0
53,AZUAY,SANTA ISABEL,SHAGLLI,7.0
54,AZUAY,SANTA ISABEL,SAN SALVADOR DE CAÑARIBAMBA,16.0
55,AZUAY,SÍGSIG,SÍGSIG,74.0
56,AZUAY,SÍGSIG,CUCHIL,13.0
57,AZUAY,SÍGSIG,JIMA,12.0
58,AZUAY,SÍGSIG,GÜEL,64.0
59,AZUAY,SÍGSIG,LUDO,43.0
60,AZUAY,SÍGSIG,SAN BARTOLOMÉ,94.0
61,AZUAY,SÍGSIG,SAN JOSÉ DE RARANGA,48.0
62,AZUAY,OÑA,SAN FELIPE DE OÑA,11.0
63,AZUAY,OÑA,SUSUDEL,13.0
64,AZUAY,CHORDELEG,CHORDELEG,423.0
65,AZUAY,CHORDELEG,PRINCIPAL,38.0
66,AZUAY,CHORDELEG,LA UNIÓN,137.0
67,AZUAY,CHORDELEG,LUIS GALARZA ORELLANA,42.0
68,AZUAY,CHORDELEG,SAN MARTÍN DE PUZHIO,73.0
69,AZUAY,EL PAN,EL PAN,61.0
70,AZUAY,EL PAN,SAN VICENTE,14.0
71,AZUAY,SEVILLA DE ORO,SEVILLA DE ORO,31.0
72,AZUAY,SEVILLA DE ORO,AMALUZA,5.0
73,AZUAY,SEVILLA DE ORO,PALMAS,24.0
74,AZUAY,GUACHAPALA,GUACHAPALA,89.0
75,AZUAY,CAMILO PONCE ENRÍQUEZ,CAMILO PONCE ENRÍQUEZ,107.0
76,BOLÍVAR,GUARANDA,GUARANDA,123.0
77,BOLÍVAR,GUARANDA,FACUNDO VELA,16.0
78,BOLÍVAR,GUARANDA,JULIO E. MORENO,30.0
79,BOLÍVAR,GUARANDA,SALINAS,13.0
80,BOLÍVAR,GUARANDA,SAN LORENZO,19.0
81,BOLÍVAR,GUARANDA,SAN SIMÓN,52.0
82,BOLÍVAR,GUARANDA,SANTA FE,73.0
83,BOLÍVAR,GUARANDA,SIMIÁTUG,32.0
84,BOLÍVAR,GUARANDA,SAN LUIS DE PAMBIL,42.0
85,BOLÍVAR,CHILLANES,CHILLANES,33.0
86,BOLÍVAR,CHILLANES,SAN JOSÉ DEL TAMBO,24.0
87,BOLÍVAR,CHIMBO,SAN JOSÉ DE CHIMBO,410.0
88,BOLÍVAR,CHIMBO,ASUNCIÓN,79.0
89,BOLÍVAR,CHIMBO,LA MAGDALENA,59.0
90,BOLÍVAR,CHIMBO,SAN SEBASTIÁN,111.0
91,BOLÍVAR,CHIMBO,TELIMBELA,18.0
92,BOLÍVAR,ECHEANDÍA,ECHEANDÍA,60.0
93,BOLÍVAR,SAN MIGUEL,SAN MIGUEL,150.0
94,BOLÍVAR,SAN MIGUEL,BALSAPAMBA,22.0
95,BOLÍVAR,SAN MIGUEL,BILOVÁN,21.0
96,BOLÍVAR,SAN MIGUEL,RÉGULO DE MORA,12.0
97,BOLÍVAR,SAN MIGUEL,SAN PABLO,68.0
98,BOLÍVAR,SAN MIGUEL,SANTIAGO,33.0
99,BOLÍVAR,SAN MIGUEL,SAN VICENTE,37.0
100,BOLÍVAR,CALUMA,CALUMA,89.0
101,BOLÍVAR,LAS NAVES,LAS NAVES,47.0
102,CAÑAR,AZOGUES,AZOGUES,730.0
103,CAÑAR,AZOGUES,COJITAMBO,190.0
104,CAÑAR,AZOGUES,GUAPÁN,115.0
105,CAÑAR,AZOGUES,JAVIER LOYOLA,280.0
