causa,causa_en
GLP,GLP
Erupción,Erupción
Inundacion,Inundacion
Lahares,Lahares
4961dda8-7503-4573-aee2-e,4961dda8-7503-4573-aee2-e
Condiciones atmosféricas,ATMOSPHCONDITION
Comportamiento,BEHAVIOR
Contaminación,CONTAMINATION
Tala,DEFORESTATION
Diseño,DESIGNERROR
Deterioro,DETERIORATION
Sequía,DROUGHT
Sismo,EARTHQUAKE
La Niña,ENSO_GIRL
El Niño,ENSO_KID
Erosión,EROSION
Actividad volcánica,ERUPTION
Explosión,EXPLOSION
Falla,FAILURE
Inundación,FLOOD
Neblina,FOG
Error humano,HUMANERROR
Deslizamiento,LANDSLIDE
Escape,LEAK
Localización,LOCALIZATION
Negligencia,NEGLIGENCE
Desbordamiento,OVERFLOW
Plaga,PLAGUE
Lluvias,RAIN
Cortocircuito,SHORTCIRCUIT
Tempestad,STORM
Vendaval,STRONGWIND
Inversión térmica,THERMALINVERSION
Desconocida,UNKNOWN
No asignada,No asignada
Vientos Huracanados,Vientos Huracanados
Incendios,Incendios
Hundimiento,Hundimiento
Epidemia,Epidemia
Otra Causa,OTHER
