orden,nombre_campo,descripcion_campo,label_campo,label_campo_en,pos_x,pos_y,lon_x,lon_y,color,tabnumber,fieldtype
201,DEATHS_FEMALE,Deaths female,Deaths female,Deaths female,0,0,7,0,0,,1
322,EFF023,,Infraestructura pública destruida,Infraestructura pública destruida,0,0,40,0,0,,1
324,EEF025,,Flia. Damnificados,Flia. Damnificados,0,0,40,0,0,,1
323,EFF024,,Centros educativos destruidos,Centros educativos destruidos,0,0,40,0,0,,1
320,PUBLIC_ADMIN_SERVICE,Disruptions to Public Administration Service,Disruptions to Public Administration Service,Disruptions to Public Administration Service,0,0,7,0,0,,1
321,SOLID_WASTE_SERVICE,Disruptions to Solid Waste Service,Disruptions to Solid Waste Service,Disruptions to Solid Waste Service,0,0,7,0,0,,1
0,EEF001,Hora del evento ,Hora,Hora,0,0,30,0,0,,5
0,EEF002,Número de personas albergadas,Albergados,Albergados,0,0,4,0,0,,1
0,EEF003,Número de Albergues,Número de Albergues,Número de Albergues,0,0,4,0,0,,1
0,EEF004,Familias acogientes,Personas en familias acogientes,Personas en familias acogientes,0,0,4,0,0,,1
0,EEF005,Bienes Privados,Bienes privados afectados,Bienes privados afectados,0,0,4,0,0,,1
0,EEF006,Infraestructura Pública,Infraestructura pública afectada,Infraestructura pública afectada,0,0,4,0,0,,1
0,EEF007,Número de puentes afectados,Puentes afectados,Puentes afectados,0,0,4,0,0,,1
0,EEF008,Corresponde la longitud en Km de via afectada,Km Vías Afectados,Km Vías Afectados,0,0,4,0,0,,1
0,EEF010,Aportes Alimenticios,Aportes Alimenticios,Aportes Alimenticios,0,0,30,0,0,,5
0,EEF011,Acciones,Acciones,Acciones,0,0,30,0,0,,5
0,EEF012,Necesidades,Necesidades,Necesidades,0,0,30,0,0,,5
0,EEF013,Bienes privados destruidos,Bienes privados destruidos,Bienes privados destruidos,0,0,4,0,0,,1
0,EEF016,Puentes destruidos,Puentes destruidos,Puentes destruidos,0,0,4,0,0,,1
0,EEF017,Ha. De cobertura vegetal quemada (modificado 29-ago-2013),Ha. De cobertura vegetal quemada,Ha. De cobertura vegetal quemada,0,0,4,0,0,,1
0,EEF018,Hectáreas de Cultivo Perdido (modificado),Hectáreas de Cultivo Perdido,Hectáreas de Cultivo Perdido,0,0,4,0,0,,1
0,EEF019,Animales afectados ,Animales afectados ,Animales afectados ,0,0,4,0,0,,1
0,EEF021,Campo para indicar si la ficha tiene o no efectos. Se marca 0 (cero) si tiene efectos y 1 (uno) si no tiene. ,Ficha sin efectos,Ficha sin efectos,0,0,4,0,0,,1
0,EEF022,x,xet,xet,0,0,4,0,0,,1
